Date,S&P 500,PE Ratio,Shiller PE
2018-09-01,2896.89,22.25,32.62
2018-08-01,2856.60,22.37,32.39
2018-07-01,2793.99,22.33,31.89
2018-06-01,2754.89,22.49,31.63
2018-05-01,2706.32,22.49,31.24
2018-04-01,2669.43,22.53,30.97
2018-03-01,2729.67,23.41,31.81
2018-02-01,2738.26,23.82,32.04
2018-01-01,2836.75,24.97,33.31
2017-12-01,2723.93,24.25,32.09
2017-11-01,2650.06,23.81,31.3
2017-10-01,2612.72,23.67,30.92
2017-09-01,2545.55,23.28,30.17
2017-08-01,2521.44,23.16,29.91
2017-07-01,2526.80,23.36,30
2017-06-01,2504.37,23.4,29.75
2017-05-01,2466.85,23.31,29.31
2017-04-01,2431.81,23.24,28.9
2017-03-01,2446.78,23.6,29.09
2017-02-01,2410.59,23.68,28.66
2017-01-01,2361.30,23.59,28.06
2016-12-01,2345.32,23.76,27.87
2016-11-01,2260.84,23.35,26.85
2016-10-01,2234.41,23.57,26.53
2016-09-01,2252.51,24.22,26.73
2016-08-01,2271.80,24.57,26.95
2016-07-01,2250.80,24.52,26.69
2016-06-01,2179.17,23.97,25.84
2016-05-01,2167.09,23.81,25.69
2016-04-01,2186.38,23.97,25.92
2016-03-01,2140.02,23.39,25.37
2016-02-01,2024.31,22.02,24
2016-01-01,2041.06,22.18,24.21
2015-12-01,2188.80,23.74,25.97
2015-11-01,2209.51,23.67,26.23
2015-10-01,2145.70,22.68,25.49
2015-09-01,2059.57,21.45,24.5
2015-08-01,2157.32,22.15,25.69
2015-07-01,2211.58,22.4,26.38
2015-06-01,2217.17,22.12,26.5
2015-05-01,2238.34,21.92,26.81
2015-04-01,2231.56,21.42,26.79
2015-03-01,2220.22,20.96,26.73
2015-02-01,2235.81,20.77,27
2015-01-01,2187.26,20.02,26.49
2014-12-01,2204.97,20.08,26.79
2014-11-01,2182.12,19.75,26.61
2014-10-01,2056.44,18.5,25.16
2014-09-01,2110.52,18.81,25.92
2014-08-01,2078.52,18.68,25.62
2014-07-01,2087.29,18.96,25.82
2014-06-01,2058.97,18.88,25.56
2014-05-01,2002.08,18.46,24.94
2014-04-01,1981.95,18.35,24.79
2014-03-01,1987.69,18.48,24.96
2014-02-01,1950.60,18.06,24.59
2014-01-01,1963.54,18.15,24.86
2013-12-01,1955.08,18.04,24.86
2013-11-01,1928.70,18.15,24.64
2013-10-01,1856.22,17.86,23.83
2013-09-01,1816.07,17.88,23.44
2013-08-01,1799.78,17.91,23.36
2013-07-01,1800.42,18.12,23.49
2013-06-01,1747.26,17.8,22.93
2013-05-01,1774.25,18.25,23.41
2013-04-01,1702.47,17.69,22.6
2013-03-01,1679.18,17.68,22.42
2013-02-01,1641.75,17.32,22.05
2013-01-01,1620.28,17.03,21.9
2012-12-01,1561.28,16.44,21.24
2012-11-01,1526.66,16.12,20.9
2012-10-01,1566.62,16.62,21.58
2012-09-01,1572.11,16.69,21.78
2012-08-01,1535.39,16.14,21.41
2012-07-01,1495.90,15.55,21
2012-06-01,1453.59,15.05,20.55
2012-05-01,1470.97,15.22,20.94
2012-04-01,1518.71,15.7,21.78
2012-03-01,1526.39,15.69,22.05
2012-02-01,1497.30,15.37,21.8
2012-01-01,1446.17,14.87,21.21
2011-12-01,1388.58,14.3,20.52
2011-11-01,1366.33,14.1,20.35
2011-10-01,1343.80,13.88,20.16
2011-09-01,1304.00,13.5,19.7
2011-08-01,1318.69,13.79,20.05
2011-07-01,1478.38,15.61,22.61
2011-06-01,1437.37,15.35,22.1
2011-05-01,1492.74,16.12,23.06
2011-04-01,1492.14,16.21,23.14
2011-03-01,1471.27,16.04,22.9
2011-02-01,1504.56,16.52,23.49
2011-01-01,1467.92,16.3,22.98
2010-12-01,1427.66,16.05,22.4
2010-11-01,1380.99,15.88,21.7
2010-10-01,1350.10,15.9,21.24
2010-09-01,1294.67,15.61,20.38
